id,Stars_name,Distance,Mass,Radius,luminosity
131,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
132,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
133,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
134,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
135,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
136,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
137,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
138,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
139,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
140,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
141,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
142,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
143,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
144,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
145,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
146,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
147,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
148,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
149,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
150,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
151,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
152,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
153,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
154,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
155,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
156,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
157,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
158,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
159,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
160,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
161,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
162,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
163,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
164,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
165,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
166,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
167,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
168,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
169,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
